id,email,username,password,phone,full_name,city,zipcode,loaded_at
1,john@gmail.com,johnd,m38rmF$,1-570-236-7033,john doe,kilcoole,12926-3874,2026-04-25 23:15:01.451243
2,morrison@gmail.com,mor_2314,83r5^_,1-570-236-7033,david morrison,kilcoole,12926-3874,2026-04-25 23:15:01.451243
3,kevin@gmail.com,kevinryan,kev02937@,1-567-094-1345,kevin ryan,Cullman,29567-1452,2026-04-25 23:15:01.451243
4,don@gmail.com,donero,ewedon,1-765-789-6734,don romer,San Antonio,98234-1734,2026-04-25 23:15:01.451243
5,derek@gmail.com,derek,jklg*_56,1-956-001-1945,derek powell,san Antonio,80796-1234,2026-04-25 23:15:01.451243
6,david_r@gmail.com,david_r,3478*#54,1-678-345-9856,david russell,el paso,12346-0456,2026-04-25 23:15:01.451243
7,miriam@gmail.com,snyder,f238&@*$,1-123-943-0563,miriam snyder,fresno,96378-0245,2026-04-25 23:15:01.451243
8,william@gmail.com,hopkins,William56$hj,1-478-001-0890,william hopkins,mesa,96378-0245,2026-04-25 23:15:01.451243
9,kate@gmail.com,kate_h,kfejk@*_,1-678-456-1934,kate hale,miami,96378-0245,2026-04-25 23:15:01.451243
10,jimmie@gmail.com,jimmie_k,klein*#%*,1-104-001-4567,jimmie klein,fort wayne,10256-4532,2026-04-25 23:15:01.451243
